2020/12/04 09:10:02 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:10:05 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:10:19 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:10:20 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/update.php?id=1"
2020/12/04 09:11:14 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/update.php?id=1"
2020/12/04 09:11:42 [error] 9#9: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:19:46 [error] 9#9: *103 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:19:48 [error] 9#9: *103 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/update.php?id=1"
2020/12/04 09:19:51 [error] 9#9: *109 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:19:52 [error] 9#9: *109 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/update.php?id=2"
2020/12/04 09:20:05 [error] 9#9: *109 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 09:20:52 [error] 9#9: *109 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
